"Story","Title","Result","Date","Stability","Duration (s)"
"Google simple search","Search for one item","SUCCESS","2017-12-03T16:02:56.294-05:00[America/New_York]","0.0","14.64"
"Google simple search","Search last item","SUCCESS","2017-12-03T16:03:10.933-05:00[America/New_York]","0.0","11.39"
